id,score
56f946ec-8077-4a93-bb73-92da5cbc253e,1.0
7a135a69-b876-497f-a6bc-917ca9954174,0.5
f650bac8-baaf-4394-81a9-461ee579132d,1.0
3d3ab383-49ee-4054-b8ca-1f6f5c0dd69f,1.0
9769ea1d-a87f-4560-bd64-e0d17478ca6a,1.0
9f7e2cb8-ba28-428b-99e7-93ce6162739c,1.0
b0ae4413-edaf-4a62-937f-0815805a6e67,1.0
e0c2c923-364b-4344-be6a-cd05705f7108,1.0
7f97be93-263d-413f-84fa-c434e02ac2ac,0.5
d96e89c3-dc03-4599-870b-e029d10f98bc,1.0
620b9bf1-f0f3-4d68-aa74-1560fb406a68,1.0
5186f3e3-6230-45ab-8d54-bcb0d4c9cc30,1.0
3e5af183-665d-4cbd-93f8-8b8dff722a3c,1.0
a92d43f7-e6b7-405b-922d-8f7cd0eca3c6,0.6666666666666666
8433c101-4334-4538-b576-70a7b28cf5c8,1.0
6d7811ff-e658-4491-80b7-3cda9f6f839c,0.6666666666666666
167fa991-6746-4277-8dd7-b7f3168ef5d3,1.0
c6a5edee-e606-44b0-a716-195a389aba6f,1.0
b436a19a-32dc-45df-bc9c-2a9dd17e722b,1.0
57eae68a-4be4-420e-a85e-1ec52859293b,1.0
bed4f9d4-f4c3-4cba-b46c-250fc6475ff5,1.0
b2603fec-e382-4812-b3f8-937a6b63bf3b,1.0
bcc107fc-4ab3-42e7-b042-e1a78c3b8b16,1.0
72f4d375-81b0-4131-8d3e-a07cfbc69428,1.0
8b796b49-4385-4bd6-a71d-78fc7b71aadd,1.0
05db3b22-c0e2-466e-a0dd-5d28c5880e8e,1.0
5a45b11c-6c3c-4a3e-8cae-5b7c4abe6e56,1.0
23860921-3818-449f-8083-19627e6ba3b8,1.0
a7d5738b-e518-4dee-9591-75ee1d915f37,1.0
4d441d96-f214-46de-9f01-60bdfb8fcd4c,1.0
131d4b33-caad-4b22-a104-2b49391e4406,1.0
360b0474-e0b9-4b78-bea9-da2fe6a10ce2,1.0
5739ec74-2c3d-404b-a051-618e73592dc9,1.0
24f87c03-6ec3-4957-b013-a140a53fa884,0.6666666666666666
2ab52d46-6b53-475c-ad8b-1da315eeee40,1.0
8a9a1126-65bc-4cff-b755-2d0e1f5707fc,1.0
e2867fbe-7463-4e93-b8ed-4dcf449dcf78,0.0
d6b81e2e-76d5-4f50-93ab-1798cb05b9dd,1.0
e1cf80cd-965e-4a64-b2e3-a9549735161a,1.0
d9a44a36-6a3c-4d5d-9c66-b2c0afb479d1,1.0
8ea39d90-34ec-4f3e-b09e-8f6262166028,1.0
5370debb-39c1-495d-b4d3-7467eb6c6ac4,1.0
6ef3e0fe-319f-4992-9a45-5ef853a273b8,1.0
3dde04d7-87a0-4b07-b6d1-48de9b36f905,1.0
896f53af-1abd-429d-82f0-b4b9d349466a,1.0
30b28caa-a9ab-4fdb-9b46-896c582a5015,1.0
e56fa2e3-564a-481a-9030-efa1de3330d0,1.0
1851e7fb-a53e-45b4-8666-03d248ae2d8f,0.5
0b3a0788-3357-4a22-9ba5-e374d54d4a7c,1.0
9ff79b96-6554-428c-a8bc-b4f690400e56,1.0
20dc2da6-1491-4eae-8d97-6c1a75c6f0ef,1.0
fd03afff-8d21-461d-a337-8983e06519fb,0.5
45ff7ce0-e47d-4d21-8636-d5bbd86a8254,1.0
a1c094f5-e825-4275-a3f1-cfa9d596a89e,1.0
6b0b3bb8-73c9-46cc-b2ff-a39cb52d9ce7,1.0
5a7681bf-33cc-489f-9b6f-74379b4ed70f,1.0
98ccf638-c5bb-49f7-9b50-fdf58b59ad08,1.0
3fb10f2b-ef22-4b6b-afd0-3ab4f0fe268c,0.6666666666666666
a335750b-0551-4535-bc75-1a36569bad4f,1.0
6b1b3b91-72bf-4cfc-a4fb-e9be6ea7a380,1.0
0e073591-b3e7-4dc8-94d0-dc5aa93ca35c,1.0
f9d8fcf8-f89e-4a07-bc4f-d2c634cba21c,1.0
295ad10f-3999-495a-871c-d037808d882a,1.0
c2d5eeae-51cc-4c98-9966-f201c18303ed,1.0
51269f29-d04e-46c0-b35e-9f77226969d2,0.0
4a45869b-bdbb-4b9a-a2b8-aa3ae2113ac0,1.0
c6979a52-76fe-428d-a4b8-dc7f20a89635,1.0
5b20338b-cca9-496f-bf94-357df791c190,1.0
b12b4a85-d39e-48f4-92df-bac03c65ea67,1.0
2b343c08-b71c-40ec-bd0b-f6ad56cf7c49,1.0
36930729-386e-459a-bfdf-ccac1332765b,1.0
10a91d8b-e525-4d26-b39e-73ed856d331e,1.0
30f7fc2b-2060-4d05-b592-b95260fa5f5c,1.0
142aba5e-bfa3-45d5-b2bb-532451d68cbd,1.0
35df9daa-59d5-41c6-adb4-f4f166acf259,1.0
8741eae4-251a-4138-a0f0-2fa5f2739470,0.5
c87c311a-5b56-4bd6-8dc3-c4f62d093a1f,1.0
7ebfd152-de58-4d41-ae5a-0b737a0742b8,1.0
3ab28d74-126b-48d9-bd1e-620ee2b6fea0,1.0
ed713c31-f3d8-4bf8-b509-cee33006c11f,0.6666666666666666
c8ab089d-87c1-4be0-a698-a8944fb37aaf,1.0
c7fa385e-5a6b-4cae-8fbf-b9a470aa9172,0.6666666666666666
8b0b7460-fc98-4799-8c3d-50d7d9e324f4,0.5
09583fec-46bd-4a79-a524-94261baa875d,1.0
61c51077-efb8-4f8f-8188-7b3784db613f,1.0
343c1b59-8307-46c5-9dfd-3f7d11646960,0.0
8dcc8c30-6781-4f61-aa3e-c0d5a7b4f5ca,1.0
9283ca76-61cb-4844-9b89-1fb08d1f4e7b,1.0
39003efe-d7fc-418c-aa6d-6b9113b836c4,1.0
342f57fd-d5a4-4217-9a20-a56ad03175d4,1.0
170e7b7e-4fdf-4dae-baf4-ad1ad6417755,1.0
624ef2be-46aa-42a2-9d81-e679826605e4,1.0
b445504c-da13-4b98-9d5e-c0af00c36a81,1.0
dfbedd00-c678-48fd-bb86-c789ed84c055,1.0
6dc2f514-cc23-4ccd-b5bc-d65da1289fed,1.0
61b90306-ccb5-42b7-89d2-b58dcf5ba0b9,0.6666666666666666
0d5ee21c-9116-43e5-a856-8d1b639273a3,0.5
32c85597-8f40-4c5d-8660-ae90fbcf53f1,1.0
e3b8a30b-3594-4919-a266-0dffcaa05287,1.0
6566f489-f254-4bca-a86b-90f5ac7471d7,0.5
48787d32-fe21-4a6d-8eec-d81002273cfe,1.0
2ba80a11-d8c9-4eb0-a770-9ebf6d67df26,1.0
7615ec0c-28b8-48a9-8a98-1ca40de9bb93,1.0
1368a5a0-24eb-463e-a813-3bd1e6add2b2,1.0
82376fcf-41e4-459c-af42-132d0cf13e53,1.0
472254f1-045d-461a-bea1-d4c545a9b4ff,1.0
b2bc8794-e5a1-4fe4-83fa-c49ca7118a25,1.0
ff2f72c2-c95f-4a5e-b5b0-ef59b1c3931d,1.0
41333fb7-9383-4126-ac35-a249a3be8f54,1.0
c9700c8a-3a62-4d73-bbd4-a3b137b61ab0,1.0
fe502ce3-aa6a-49c3-bec1-2890262011ea,0.6666666666666666
cd20a3a9-e059-4d6b-a74a-42c0dbbc1876,1.0
1455f5b5-7060-4e8e-91e6-a135ad34e3f1,1.0
05a362ba-7c18-47d3-a7c3-d9fb6eab186d,1.0
a9e94371-50f7-4ca7-82f4-189067477a38,1.0
15de70d0-d62d-4e30-babd-4b86f77f0cc3,1.0
af0bd991-beae-4c3f-b452-456acff72259,1.0
b7222323-3e15-4e47-bb0c-198d80c31bbe,1.0
7acb96be-9582-44b3-9131-69a406c4acd8,1.0
034cff35-3895-4d0a-90b9-79f36181c2ce,0.5
206d6b73-2983-402c-8515-70f4e032c117,1.0
05372689-e204-47f0-9b7c-ee877890f34a,0.3333333333333333
671dad2b-fb77-4b33-b10e-2f2cb8cad892,1.0
2f06b4f4-87ca-4dc4-bea2-0bf197321e26,1.0
15c68476-ddf2-405a-959d-4991e8648fd8,1.0
f47cc66f-2e37-4924-a520-2c90e6bd581e,1.0
9b98fb94-8a98-4c31-8bba-db9385a6b8a0,1.0
c04d571d-47e3-4bdb-8c11-759a0314a703,1.0
63d0780e-d5db-4e4d-bbc7-5d462e3c9547,1.0
18ac1db8-b7a3-411c-a714-79937c53590c,1.0
a4e08d59-db96-4b8b-bab8-9b3ca686d43f,1.0
279a2765-8f53-4f3d-84e6-8c5983c8dc2e,0.0
2eaa0b2e-237b-45b5-97ed-db87cc82c262,1.0
0afb3e86-b400-4c4d-bc27-f96be8210496,1.0
c63d6053-7665-4012-9c47-8c5c32e4fd27,1.0
65932f84-2813-4012-a481-5ad53fdb1d01,1.0
ab791255-e1c6-4f52-af44-27113c25c6b0,1.0
35a3b6be-5691-4340-8589-f77e8449eb42,1.0
c75b8fb0-e40f-45ba-b675-685ef8881293,1.0
78fd84df-16b9-4b00-9e17-f95993361443,1.0
b842859d-b191-4170-8ab7-133be825cd6c,0.5
393ac90d-8dae-4e0d-88e1-272e7bf2f618,1.0
4fffbbd2-57a5-490e-b583-1aaae622c159,0.6666666666666666
6a4cd932-1baf-486e-ac8d-0e99582a495f,1.0
02cf8f07-b0f6-4095-9a8b-f447864ca384,1.0
cf444de7-2a84-4bca-a29e-105bb26cb743,0.5
7042e365-ed45-4020-942e-d243cc9674c2,1.0
05bb23aa-3965-419a-a986-79c301d9270e,0.5
dac91d0e-a459-4027-b07b-7f236f75a990,1.0
28d45d4a-d122-4835-9107-e35d28c56b2a,1.0
